R,G,B,a1,a2,a3
122,252,205,0,1,0
121,252,205,0,1,0
121,245,211,0,1,0
115,246,212,0,1,0
115,246,211,0,1,0
121,252,211,0,1,0
121,252,212,0,1,0
121,252,205,0,1,0
121,252,206,0,1,0
121,252,205,0,1,0
121,246,211,0,1,0
121,246,211,0,1,0
121,252,212,0,1,0
121,252,212,0,1,0
121,252,205,0,1,0
122,252,212,0,1,0
121,251,211,0,1,0
121,252,205,0,1,0
122,252,206,0,1,0
121,252,212,0,1,0
121,246,211,0,1,0
122,252,212,0,1,0
122,252,212,0,1,0
122,252,206,0,1,0
115,252,212,0,1,0
121,246,206,0,1,0
116,252,211,0,1,0
121,252,212,0,1,0
122,246,212,0,1,0
122,252,206,0,1,0
121,252,206,0,1,0
115,252,212,0,1,0
121,246,212,0,1,0
121,252,211,0,1,0
122,252,212,0,1,0
121,252,212,0,1,0
121,252,211,0,1,0
121,252,205,0,1,0
116,252,211,0,1,0
122,246,206,0,1,0
116,252,211,0,1,0
121,246,211,0,1,0
121,252,212,0,1,0
122,252,211,0,1,0
121,252,206,0,1,0
115,252,211,0,1,0
121,246,212,0,1,0
121,252,212,0,1,0
121,246,212,0,1,0
121,252,212,0,1,0
122,246,211,0,1,0
121,252,211,0,1,0
122,252,211,0,1,0
122,252,206,0,1,0
116,252,212,0,1,0
121,246,206,0,1,0
121,252,211,0,1,0
121,246,212,0,1,0
122,252,211,0,1,0
